0 4 4
10 1294 1294
20 2584 2584
30 3874 3874
40 5164 5164
50 6454 6454
60 7744 7744
70 9034 9034
80 10324 10324
90 11614 11614
100 12904 12904
110 14194 14194
120 15484 15484
130 16774 16774
140 18064 18064
150 19354 19354
160 20644 20644
170 21934 21934
180 23224 23224
190 24514 24514
200 25804 25804
100 12904 12904
200 25804 25804
300 38704 38704
400 51604 51604
500 64504 64504
600 77404 77404
700 90304 90304
800 103204 103204
900 116104 116104
1000 129004 129004
1100 141904 141904
1200 154804 154804
1300 167704 167704
1400 180604 180604
1500 193504 193504
1600 206404 206404
1700 219304 219304
1800 232204 232204
1900 245104 245104
2000 258004 258004
1000 129004 129004
2000 258004 258004
3000 387004 387004
4000 516004 516004
5000 645004 645004
6000 774004 774004
7000 903004 903004
8000 1032004 1032004
9000 1161004 1161004
10000 1290004 1290004
